,leveringsrichting,postcode_tot,postcode_van,sjv,soort
192,100,1011HT,1011HT,2890,ELK
193,100,1011HV,1011HV,2486,ELK
194,100,1011HV,1011HV,1386,GAS
195,100,1011HW,1011HW,2086,GAS
196,100,1011HW,1011HW,3571,ELK
197,100,1011HX,1011HX,1357,GAS
198,100,1011HX,1011HX,2299,ELK
199,100,1011HZ,1011HZ,3676,ELK
200,100,1011HZ,1011HZ,1425,GAS
201,100,1011JA,1011JA,1903,ELK
202,100,1011JA,1011JA,1515,GAS
203,100,1011JB,1011JB,2102,ELK
204,100,1011JB,1011JB,1151,GAS
205,100,1011JG,1011JC,1701,ELK
206,100,1011JH,1011JC,1487,GAS
207,100,1011JH,1011JH,3824,ELK
208,100,1011JJ,1011JJ,5454,ELK
209,100,1011JJ,1011JJ,2506,GAS
210,100,1011JK,1011JK,1030,GAS
211,"83,33",1011JK,1011JK,6792,ELK
212,100,1011JL,1011JL,7436,ELK
213,100,1011JL,1011JL,1285,GAS
214,100,1011JM,1011JM,5191,ELK
215,100,1011JM,1011JM,1563,GAS
216,100,1011JN,1011JN,1494,GAS
217,100,1011JN,1011JN,3216,ELK
218,100,1011JP,1011JP,2304,GAS
219,100,1011JP,1011JP,8612,ELK
220,100,1011JR,1011JR,10395,ELK
221,100,1011JR,1011JR,1794,GAS
222,100,1011JT,1011JS,2613,GAS
223,100,1011JT,1011JS,20423,ELK
224,100,1011JV,1011JV,2394,ELK
225,100,1011JV,1011JV,2041,GAS
226,100,1011JW,1011JW,4944,ELK
227,100,1011JW,1011JW,1725,GAS
228,100,1011JX,1011JX,3258,ELK
229,100,1011JX,1011JX,3031,GAS
230,100,1011JZ,1011JZ,7249,ELK
231,100,1011JZ,1011JZ,2188,GAS
232,100,1011KA,1011KA,3765,ELK
233,100,1011KA,1011KA,1683,GAS
234,100,1011KB,1011KB,3190,GAS
235,100,1011KB,1011KB,5907,ELK
236,100,1011KC,1011KC,3481,ELK
237,100,1011KC,1011KC,1804,GAS
238,100,1011KD,1011KD,8478,ELK
239,100,1011KD,1011KD,2194,GAS
240,100,1011KE,1011KE,9934,ELK
241,100,1011KH,1011KE,3652,GAS
242,100,1011KH,1011KH,3107,ELK
243,"97,37",1011KJ,1011KJ,2323,ELK
244,100,1011KJ,1011KJ,1175,GAS
245,100,1011KK,1011KK,1237,GAS
246,100,1011KK,1011KK,3497,ELK
247,100,1011KM,1011KL,4381,ELK
248,100,1011KM,1011KL,2146,GAS
249,100,1011KN,1011KN,1072,GAS
250,"95,45",1011KN,1011KN,2196,ELK
251,100,1011KP,1011KP,1303,GAS
252,100,1011KP,1011KP,2758,ELK
253,100,1011KR,1011KR,2213,ELK
254,100,1011KR,1011KR,1427,GAS
255,100,1011KS,1011KS,2770,ELK
256,100,1011KS,1011KS,1662,GAS
257,100,1011KT,1011KT,2835,ELK
258,100,1011KT,1011KT,1906,GAS
259,100,1011KW,1011KV,1132,GAS
260,"98,91",1011KW,1011KV,2540,ELK
261,100,1011KZ,1011KX,3641,ELK
262,100,1011KZ,1011KX,1807,GAS
263,100,1011LA,1011LA,2043,ELK
264,100,1011LA,1011LA,1698,GAS
265,100,1011LB,1011LB,3359,ELK
266,100,1011LB,1011LB,1149,GAS
267,100,1011LC,1011LC,1709,GAS
268,100,1011LC,1011LC,2732,ELK
269,98,1011LD,1011LD,2989,ELK
270,100,1011LD,1011LD,1474,GAS
271,100,1011LE,1011LE,2648,ELK
272,100,1011LE,1011LE,1318,GAS
273,100,1011LG,1011LG,2781,ELK
274,100,1011LH,1011LG,1215,GAS
275,100,1011LH,1011LH,2325,ELK
276,100,1011LJ,1011LJ,964,GAS
277,100,1011LJ,1011LJ,2438,ELK
278,100,1011LL,1011LK,2703,ELK
279,100,1011LL,1011LK,1891,GAS
