ZAAKNAAM,ADRES,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,LOCATIE_WKT
De Utrechtsedwarstafel,Utrechtsedwarsstraat 107-H,07:00,01:00,07:00,03:00,POINT (4.90045675528266 52.3618017132951)
Take Thai,Utrechtsestraat 87-H,07:00,01:00,07:00,03:00,POINT (4.89874024684695 52.3630349386174)
Tosti Bar B.V.,Van Woustraat 2-H,07:00,01:00,07:00,03:00,POINT (4.89921240149471 52.3574735677917)
Surinam Express,Van Woustraat 173-H,07:00,01:00,07:00,03:00,POINT (4.90338315483433 52.3519093684576)
SNCKBR BV,Van Woustraat 34-H,07:00,01:00,07:00,03:00,POINT (4.89966311083487 52.3565317252706)
Steakhouse Pizzeria Van Wou,Van Woustraat 235-H,07:00,01:00,07:00,03:00,POINT (4.90419952881223 52.3497197227845)
Coffeeshop Top Weazle,Vechtstraat 63-H,07:00,01:00,07:00,01:00,POINT (4.90652941397762 52.345990349593)
Restaurant MOZO,Van Woustraat 89-H,11:00,01:00,11:00,01:00,POINT (4.90166646896461 52.3545447026427)
Roopram Roti Eetcafe,Van Woustraat 37A,07:00,01:00,07:00,03:00,POINT (4.900178226867 52.3564080166595)
Waltzing BV,Van Woustraat 97-H,07:00,00:00,07:00,01:00,POINT (4.90191932422338 52.3542401598857)
Pind Punjabi,Van Woustraat 240-H,07:00,01:00,07:00,03:00,POINT (4.90373224452857 52.3495021148724)
Krua Buppha Thais Restaurant,Van Woustraat 241-H,07:00,01:00,07:00,03:00,POINT (4.90427486173158 52.349540277636)
Geflipt,Van Woustraat 15,07:00,01:00,07:00,03:00,POINT (4.89983412341302 52.356999783421)
The Coffee Company,Van Woustraat 92-1,07:00,01:00,07:00,03:00,POINT (4.90097249415606 52.354919336812)
Snackbar 't Ankertje,Van Woustraat 204D,07:00,01:00,07:00,03:00,POINT (4.90329265065091 52.3507855484942)
Marrakech Amsterdam,Van Woustraat 117-H,07:00,01:00,07:00,03:00,POINT (4.90236553092664 52.3537027301077)
Snackbar/Afhaalcentrum Warung Mini,Van Woustraat 19,11:00,22:00,12:00,22:00,POINT (4.89986426866678 52.3569280066265)
Broodje Popov,Van Woustraat 20-H,07:00,00:00,07:00,01:00,POINT (4.8995282452686 52.3567828230768)
Firma Pekelhaaring,Van Woustraat 127-H,07:00,01:00,07:00,03:00,POINT (4.90269254634 52.3533265882129)
Coffeeshop de Keeper,Van Woustraat 193-H,07:00,01:00,07:00,01:00,POINT (4.90365486472331 52.3512184318931)
Geuzenmiddenmeer,Voorlandpad 15,07:00,01:00,07:00,03:00,POINT (4.95408892456588 52.3478364232714)
Scheidsrechters Vereniging Amsterdam Sva,Voorlandpad 17,07:00,01:00,07:00,03:00,POINT (4.95360156669624 52.3481492064155)
Chiapas BV,Van Woustraat 29-H,07:00,01:00,07:00,03:00,POINT (4.90004434989407 52.356569243178)
Restaurant New China Town,Van Woustraat 194D,07:00,01:00,07:00,03:00,POINT (4.90317171641787 52.3511086084214)
Wellcome,Zeedijk 57,07:00,01:00,07:00,03:00,POINT (4.90107594312883 52.374980025417)
Pompstation,Zeeburgerdijk 52,07:00,01:00,07:00,03:00,POINT (4.93318152678775 52.3659400269587)
Bird Thais Restaurant,Zeedijk 72-H,07:00,01:00,07:00,03:00,POINT (4.90055164180076 52.374582422286)
Snackbar-Croissanterie Florida,Van Woustraat 214,07:00,01:00,07:00,03:00,POINT (4.90344440291718 52.3503278001313)
Wing Kee,Zeedijk 76,07:00,00:00,07:00,00:00,POINT (4.90047920594829 52.3744922494257)
Bird,Zeedijk 77-H,07:00,00:00,07:00,00:00,POINT (4.90077229795265 52.3745473775841)
Yu Fung,Van Woustraat 49-H,07:00,01:00,07:00,03:00,POINT (4.90049079956814 52.3560138464506)
CAFE 'T MANDJE VOF,Zeedijk 63-H,07:00,01:00,07:00,03:00,POINT (4.90100448946174 52.3747999814122)
Brix Amsterdam B.V.,Wolvenstraat 16-O,07:00,01:00,07:00,03:00,POINT (4.8858116912445 52.3703597622688)
Stichting Amsta,Hugo de Grootkade 28W,07:00,01:00,07:00,03:00,POINT (4.87274283515012 52.3729461198474)
Zilt,Zeedijk 49-H,09:00,03:00,09:00,04:00,POINT (4.90119115537135 52.3751872114007)
Morgan en Mees,Tweede Hugo de Grootstraat 2,07:00,01:00,07:00,03:00,POINT (4.87467977949432 52.3743385942265)
Renato's Osteria BV,Van der Helstplein 17-H,07:00,01:00,07:00,03:00,POINT (4.89522700697019 52.3515073008788)
Restaurant Mantoe,Tweede Leliedwarsstraat 13-H,07:00,01:00,07:00,03:00,POINT (4.8808345766258 52.3754615223075)
Twins,Tweede Tuindwarsstraat 9-H,07:00,03:00,07:00,04:00,POINT (4.88190128391851 52.3772186470044)
"Huis van de Wijk ""Pijp"";""Tweede Van der Helststraat 66",Additionele horeca,07:00,01:00,07:00,03:00,POINT (4.89438952097173 52.3502635313292)
Cafe De Ballenbak,Tweede Jacob van Campenstraat 150-H,07:00,01:00,07:00,03:00,POINT (4.89675246377357 52.3569151714248)
De Aardige Pers,Tweede Hugo de Grootstraat 13-H,07:00,01:00,07:00,03:00,POINT (4.87429986282214 52.3741751751462)
Piri Piri Amsterdam,Van der Hoopstraat 94-H,07:00,01:00,07:00,03:00,POINT (4.87193403596111 52.3844376955414)
Fashion&Tea,Van der Pekstraat 40-H,07:00,01:00,07:00,03:00,POINT (4.90939360081808 52.3880727190895)
Centrum Ps/Stichting de Volksbond,Tweede Kostverlorenkade 15,07:00,01:00,07:00,03:00,POINT (4.86579789641086 52.3703812846442)
Glouglou B.V.,Tweede Van der Helststraat 3-H,07:00,00:00,07:00,03:00,POINT (4.89501068637022 52.3524860519021)
Coffeeshop Papillon,Van der Helstplein 8-H,07:00,01:00,07:00,01:00,POINT (4.8945069602027 52.3515851982458)
Zaagmolen,Tweede Jan Steenstraat 3-H,07:00,01:00,07:00,03:00,POINT (4.89830772891438 52.3556453580727)
Kebec,tt. Melaniaweg 12,07:00,01:00,07:00,03:00,POINT (4.89210596651514 52.4037299403981)
Royalvis & Traiteur,Van der Pekstraat 88-H,07:00,22:00,07:00,22:00,POINT (4.91039215459828 52.3894698027631)
Renato's Osteria B.V.,Van der Helstplein 10-H,07:00,01:00,07:00,03:00,POINT (4.89452233418384 52.351522348897)
Café Restaurant Kerkzicht,Sloterweg 1209,07:00,01:00,07:00,03:00,POINT (4.79967967199888 52.3413924670798)
COOKKAI,Tweede Rozendwarsstraat 3-H,07:00,03:00,07:00,04:00,POINT (4.87869390331306 52.3726033024554)
Meghna,Utrechtsestraat 28-H,07:00,01:00,07:00,03:00,POINT (4.89790161751784 52.3645324055177)
Mystique,Utrechtsestraat 30A,07:00,01:00,07:00,03:00,POINT (4.89793216695837 52.3644246806915)
De Kade BV,Stadionkade 107,07:00,01:00,07:00,01:00,POINT (4.86442540000655 52.3435202500293)
Alfonso's,Utrechtsestraat 32,07:00,01:00,07:00,03:00,POINT (4.89794734264569 52.3643798054426)
Restaurant 't Fornuis,Utrechtsestraat 33-H,07:00,01:00,07:00,03:00,POINT (4.89812103853154 52.3646052116088)
Doner Plazam,Slotermeerlaan 127,07:00,01:00,07:00,03:00,POINT (4.82082100681521 52.3808522290226)
Barbesque B.V.,Van der Palmkade 16,07:00,01:00,07:00,03:00,POINT (4.872761718552 52.3801901778848)
Julia's,Stationsplein 45D,07:00,03:00,07:00,04:00,POINT (4.8992811175924 52.3792866749772)
Ibis Amsterdam Centre,Stationsplein 49,07:00,01:00,07:00,03:00,POINT (4.89717858181843 52.3795026929397)
Regardz Meeting Center,Stationsplein 51,07:00,01:00,07:00,03:00,POINT (4.89641154405101 52.3798050969405)
Caffe Oslo,Surinamestraat 1-1,07:00,01:00,07:00,03:00,POINT (4.85431938459644 52.3578105171046)
"Snackbar ""Bodrum"";""Surinamestraat 3-H",Alcoholvrij,07:00,01:00,07:00,03:00,POINT (4.85420141731351 52.3578549248252)
Coffee Plaza VDH BV,Van der Hoopstraat 18,07:00,01:00,07:00,03:00,POINT (4.87538463559458 52.384533526467)
Eetcafé Bodrum,Surinamestraat 5-H,07:00,00:00,07:00,01:00,POINT (4.85411302255902 52.357881490188)
De Chammout Expl BV/Koffiehuis De Prijs,Surinamestraat 7-H,07:00,01:00,07:00,01:00,POINT (4.85400994913075 52.3579079894609)
Koffiehuis De Valk,Valkenburgerstraat 6,07:00,01:00,07:00,03:00,POINT (4.90878965407943 52.3705086391718)
Ranked eSports,Valkenburgerstraat 8-H,07:00,01:00,07:00,03:00,POINT (4.90873111639312 52.3704904278183)
Lucky Garden,Snellerwaardgracht 7,07:00,01:00,07:00,03:00,POINT (4.97698656415367 52.295016698272)
Sal Gorda,Van Breestraat 107A-H,07:00,01:00,07:00,03:00,POINT (4.87324866556259 52.3558808776133)
Japanese Pancake World Amsterdam B.V.,Tweede Egelantiersdwarsstraat 24A,07:00,01:00,07:00,03:00,POINT (4.88217450556758 52.3764378935856)
Café Marktzicht,Ten Katestraat 32-H,07:00,01:00,07:00,03:00,POINT (4.86698830079189 52.3665308394936)
Mirror Centre,Ter Gouwstraat 3,07:00,01:00,07:00,03:00,POINT (4.93136576362064 52.3597496160252)
Beymen Café en Restaurant,Tussen Meer 213,07:00,01:00,07:00,03:00,POINT (4.79594779878222 52.3571922197853)
Fish and Chicken,Tussen Meer 223,07:00,01:00,07:00,03:00,POINT (4.79525971840152 52.3570539710855)
Aggie,Tweede Goudsbloemdwarsstraat 23-H,07:00,03:00,07:00,04:00,POINT (4.88424391645282 52.3804371630316)
V.O.F. de Myrabelle,Vijzelgracht 1,07:00,01:00,07:00,03:00,POINT (4.89189675526471 52.3619100563402)
Caffé Panini,Vijzelgracht 3-H,07:00,01:00,07:00,03:00,POINT (4.89185311619108 52.3618739236465)
Kelch,Ten Katestraat 39-H,07:00,01:00,07:00,03:00,POINT (4.86696783085619 52.3670250671056)
Stichting Hafa,Verbindingstraat 3-H,07:00,01:00,07:00,03:00,POINT (4.89899568410746 52.3531496411535)
Stichting Café Mezrab,Veemkade 576,07:00,01:00,07:00,03:00,POINT (4.92758664026744 52.3759755283086)
Sizzling Wok,Tafelbergweg 2A,07:00,01:00,07:00,03:00,POINT (4.94760131275243 52.2930148324139)
KFC Foodstrip,Tafelbergweg 2B,07:00,01:00,07:00,03:00,POINT (4.94713512070427 52.2927254937729)
De Koffie Salon West,Ten Katestraat 42A,07:00,01:00,07:00,03:00,POINT (4.86733175834994 52.3660380286093)
HIMALAYAN KITCHEN,Ten Katestraat 45-H,07:00,01:00,07:00,03:00,POINT (4.86705739367464 52.3668996338381)
Sportvereniging Triaz,Van Heenvlietlaan 6,07:00,01:00,07:00,03:00,POINT (4.88285118680528 52.3297770946137)
Sportkantine van Hogendorp,Van Hogendorpstraat 921,07:00,01:00,07:00,03:00,POINT (4.86758970213916 52.381641586059)
BAK restaurant,Van Diemenstraat 410,07:00,01:00,07:00,03:00,POINT (4.88683475154591 52.3903344118608)
Coffeeshop Freedom,Van Hogendorpstraat 201-H,07:00,01:00,07:00,01:00,POINT (4.87120691335972 52.382547148779)
Café Brel,Van Hallstraat 37-H,07:00,01:00,07:00,03:00,POINT (4.87020291555436 52.384259397636)
John Halvemaan B.V.,Van Leijenberghlaan 320,07:00,01:00,07:00,03:00,POINT (4.87793597755703 52.3285607095795)
Braai Westerpark,Van Limburg Stirumstraat 14A,07:00,01:00,07:00,03:00,POINT (4.87487956037908 52.3850256603378)
Chef India,Weteringschans 187C-H,07:00,03:00,07:00,04:00,POINT (4.89315545611259 52.3596144865061)
Paso Doble,Westerstraat 86-H,07:00,01:00,07:00,03:00,POINT (4.88399952861818 52.3786745664439)
Wok 2 Home,Voetboogstraat 23-H,07:00,03:00,07:00,04:00,POINT (4.89090354845978 52.368026443818)
Boca's,Westerstraat 30-H,07:00,01:00,07:00,03:00,POINT (4.88533326691625 52.37891389542)
De Zagerij,Westerstraat 182,07:00,01:00,07:00,03:00,POINT (4.88175725350282 52.3782605895218)
Vlaams Frieteshuis Voetboog BV,Voetboogstraat 33,07:00,03:00,07:00,04:00,POINT (4.8910225100949 52.3678921281872)
Eethuis A Kong,Wagenaarstraat 64-H,07:00,01:00,07:00,03:00,POINT (4.92678099646385 52.3630303323515)
Ku Kitchen & Bar,Utrechtsestraat 114,07:00,01:00,07:00,03:00,POINT (4.89900462656005 52.3616878906144)
Café Monroe,Wagenaarstraat 68-H,07:00,01:00,07:00,03:00,POINT (4.92689816022277 52.3630577500827)
Cinema Paradiso,Westerstraat 186,07:00,01:00,07:00,03:00,POINT (4.88163997540125 52.3782421144284)
Bistrot des Alpes,Utrechtsedwarsstraat 141,07:00,01:00,07:00,03:00,POINT (4.9014090843203 52.3619763840056)
Al Bacaro - Osteria Italiana,Vijzelstraat 97-H,07:00,01:00,07:00,03:00,POINT (4.89235149880738 52.3632600931935)
Mekong Café,Vijzelstraat 103-H,07:00,01:00,07:00,03:00,POINT (4.89230875906271 52.3631430761938)
V.o.F Jefferson bar-brasserie,Vliegtuigstraat 16,08:00,01:00,08:00,03:00,POINT (4.84414104080303 52.3402474040496)
Vlaamsch Broodhuys Amsterdam Vijzelstr,Vijzelstraat 111,07:00,03:00,07:00,04:00,POINT (4.89231006052971 52.3630262430476)
EetCafé Carels III,Voetboogstraat 6-H,07:00,01:00,07:00,03:00,POINT (4.89059231317592 52.3682857800634)
Etenstijd V.O.F.,Vijzelgracht 59,07:00,03:00,07:00,04:00,POINT (4.89128377455665 52.3602717524159)
Le Patron Anonyme,Vijzelgracht 63,07:00,01:00,07:00,03:00,POINT (4.89126989765564 52.3601997936367)
Het Pakhuis,Voetboogstraat 10-H,07:00,01:00,07:00,03:00,POINT (4.89063726355947 52.368205080202)
The Poolbar,Voetboogstraat 3B,09:00,03:00,09:00,04:00,POINT (4.89067819547957 52.368483866368)
Cafe Nota Bene,Voetboogstraat 4-H,09:00,03:00,09:00,04:00,POINT (4.89057712872164 52.368330654315)
Bella Regina,Vijzelstraat 41,07:00,01:00,07:00,03:00,POINT (4.89330541199725 52.3659333823924)
Schutters B.V.,Voetboogstraat 13,07:00,01:00,07:00,03:00,POINT (4.89079836422786 52.3682417051657)
Senses,Vijzelstraat 45,07:00,01:00,07:00,03:00,POINT (4.89326216755354 52.3658613016094)
Sumo Amsterdam B.V,Vijzelstraat 26-H,07:00,01:00,07:00,03:00,POINT (4.89270838108833 52.3654905022473)
La Pureté Coffee,Vijzelstraat 71-H,07:00,03:00,07:00,04:00,POINT (4.89282065064203 52.3646371505811)
De Vondeltuin,Vondelpark 7,07:00,00:00,07:00,00:00,POINT (4.85661700870959 52.354711106946)
Stichting Schietsportcentrum Amsterdam,Vredenhofweg 9C,07:00,01:00,07:00,03:00,POINT (4.863675124201 52.3835477049632)
Patisserie Dreams,Vijzelstraat 75A,07:00,03:00,07:00,04:00,POINT (4.89285151248312 52.3645024655948)
Snackbar Nieuw Zuid,Uiterwaardenstraat 138,12:00,22:00,12:00,22:00,POINT (4.90568320082226 52.3428232726082)
Lunchcafé Klaver 4,Utrechtsestraat 69,07:00,01:00,07:00,03:00,POINT (4.89858948966988 52.3633938204689)
Snackhouse Amy,Utrechtsestraat 63E,07:00,03:00,07:00,04:00,POINT (4.89852948268621 52.3635104116331)
Brasserie Zuivere Koffie B.V.,Utrechtsestraat 39,07:00,03:00,07:00,04:00,POINT (4.89818114700276 52.364479633519)
Sluizer,Utrechtsestraat 41,07:00,01:00,07:00,03:00,POINT (4.89818144379305 52.3644526720141)
Restaurant La Casona,Utrechtsestraat 42A,07:00,01:00,07:00,03:00,POINT (4.89803780237482 52.3641644769098)
The Fix by Maiden,Valkenburgerstraat 124,07:00,01:00,07:00,03:00,POINT (4.90674251629241 52.3697184427977)
Ver.van Recreanten aan het Kinselmeer,Uitdammerdijk 13,07:00,01:00,07:00,03:00,POINT (5.01450643781071 52.3849625623004)
"Watersportvereniging ""De Doordrijvers"";""Uitdammerdijk 14",Additionele horeca,07:00,01:00,07:00,03:00,POINT (5.01783240977678 52.3859526057209)
IJssalon / Snackbar Happe,Uiterwaardenstraat 106,07:00,01:00,07:00,03:00,POINT (4.90704552403805 52.3430445033849)
Colombe Sauvage,Weteringschans 75A,07:00,01:00,07:00,03:00,POINT (4.88639704133634 52.361419594209)
Japans Restaurant An,Weteringschans 76-H,07:00,01:00,07:00,03:00,POINT (4.8937750767438 52.3593384521222)
Warung Sranang Makmur,Wijttenbachstraat 14-H,07:00,01:00,07:00,03:00,POINT (4.9260928141813 52.3600258097134)
De Ysbreker,Weesperzijde 23-H,07:00,01:00,07:00,03:00,POINT (4.9067568694972 52.357531351406)
Lounge Restaurant Route 66,Warmoesstraat 77D,07:00,01:00,07:00,03:00,POINT (4.89767047632077 52.374849175366)
Stones Café,Warmoesstraat 91,07:00,01:00,07:00,03:00,POINT (4.89718867282009 52.3745955335911)
Caffe Italia,Warmoesstraat 93,07:00,01:00,07:00,03:00,POINT (4.89713043204552 52.3745503551026)
Sant Mario Big Shots BV,Warmoesstraat 94-H,07:00,01:00,07:00,03:00,POINT (4.89690997146355 52.3745674187424)
Rembrandt Waterloo,Warmoesstraat 95,09:00,03:00,09:00,04:00,POINT (4.89708677633738 52.3745142244313)
Getto Food & Drinks,Warmoesstraat 51F,07:00,01:00,07:00,03:00,POINT (4.89837027502087 52.3753104278197)
Hill Street Blues,Warmoesstraat 52A,07:00,01:00,07:00,03:00,POINT (4.89814882145436 52.3754173651837)
Al Argentino Restaurant Steakhouse,Zeedijk 29A,07:00,01:00,07:00,03:00,POINT (4.90092181810576 52.3756444720484)
La Casa Argentina,Zeedijk 32A,07:00,01:00,07:00,03:00,POINT (4.90098321284408 52.3754020600136)
Kamal Eethuis,Zeilstraat 14-H,07:00,01:00,07:00,03:00,POINT (4.85539539461794 52.3513083086841)
Snackbar Witte Tulp,Willem de Zwijgerlaan 63-H,07:00,01:00,07:00,03:00,POINT (4.8631175291233 52.3723017967185)
De Zeemeeuw,Zeedijk 102-H,07:00,01:00,07:00,03:00,POINT (4.9001765554465 52.3739697285404)
Charlie's,Warmoesstraat 15,07:00,01:00,07:00,03:00,POINT (4.89915631899541 52.37594279453)
Willems B.V.,Willemsparkweg 177A,07:00,01:00,07:00,03:00,POINT (4.87046069467076 52.3557968553234)
Brasserie Pompa,Willemsparkweg 6,09:00,23:00,09:00,23:00,POINT (4.87793494817707 52.3581120557325)
Lime Café,Zeedijk 104B,07:00,01:00,07:00,03:00,POINT (4.90014768033268 52.373924672157)
Eat Mode,Zeedijk 107,07:00,01:00,07:00,03:00,POINT (4.90032556255127 52.3737726143681)
Dim Sum Court,Zeedijk 109A,10:00,01:00,10:00,01:00,POINT (4.90032585812184 52.3737456529212)
Nam Kee,Zeedijk 111,07:00,01:00,07:00,03:00,POINT (4.9003262522153 52.373709704325)
New King,Zeedijk 115-H,07:00,01:00,07:00,03:00,POINT (4.90032733596851 52.3736108456837)
China Si Chuan Warmoesstraat BV,Warmoesstraat 17,07:00,01:00,07:00,03:00,POINT (4.8990686064889 52.3759064832508)
Bite,Warmoesstraat 21-H,07:00,01:00,07:00,03:00,POINT (4.8990251454599 52.3758523790163)
WIJKCENTRUM DE HORIZON,Zaandammerplein 50,07:00,01:00,07:00,03:00,POINT (4.87477363543785 52.3916580032042)
ZAMEN Expositie,Zamenhofstraat 150,07:00,01:00,07:00,03:00,POINT (4.93153484447371 52.3862005901861)
't Wethoudertje,Wethouder Frankeweg 11-H,07:00,01:00,07:00,03:00,POINT (4.93589786036713 52.3514714267432)
The Lebanese Sajeria,Wijde Heisteeg 1-H,07:00,03:00,07:00,04:00,POINT (4.8873574062854 52.3687035885752)
Côte Wispe (Waterfront B.V),Weesperzijde 85-H,07:00,01:00,07:00,03:00,POINT (4.91043165136187 52.3529625186883)
Restaurant San Thomas,Warmoesstraat 7,07:00,01:00,07:00,03:00,POINT (4.89940447658257 52.3760786289911)
't Mirakel,Wijde Kapelsteeg 6,07:00,03:00,07:00,04:00,POINT (4.89196286121499 52.3704665049378)
MAXIMAS,Zeedijk 87-H,07:00,01:00,07:00,03:00,POINT (4.90056957568557 52.3742859066851)
Dolce Vita,Warmoesstraat 10-H,07:00,01:00,07:00,03:00,POINT (4.8992419579138 52.3761678357345)
Amsterdamsch Studenten Corps/Avsv,Warmoesstraat 153-H,07:00,04:00,07:00,04:00,POINT (4.89549794742956 52.3734471142685)
Chicken & Burgers,Wijde Kerksteeg 3A,07:00,03:00,07:00,04:00,POINT (4.89714640538032 52.3744335829283)
Snackbar High Snack,Wijde Kerksteeg 5,07:00,03:00,07:00,04:00,POINT (4.89719055685509 52.3744247778586)
Little Saigon,Zeedijk 88,07:00,01:00,07:00,03:00,POINT (4.90034980735597 52.3742400666837)
Eetcafé Rosman,Willem de Zwijgerlaan 333,07:00,01:00,07:00,03:00,POINT (4.85771614421047 52.3819574128001)
Café-Koffiehuis de Zwijger,Willem de Zwijgerlaan 157,07:00,01:00,07:00,03:00,POINT (4.86254377820478 52.3748786937145)
Bagels & Beans,Willem de Zwijgerlaan 161,07:00,01:00,07:00,03:00,POINT (4.86239205129687 52.3752914506121)
Restaurant El Asador,Warmoesstraat 13-H,07:00,01:00,07:00,03:00,POINT (4.8992146624067 52.3759789848702)
La Vida Argentina,Zeedijk 97-H,07:00,01:00,07:00,03:00,POINT (4.90041080921942 52.3740336034517)
Libertine Amsterdam,Wolvenstraat 22,07:00,01:00,07:00,03:00,POINT (4.88563529541202 52.3703769912792)
Botel B.V.,NDSM-pier 3,07:00,01:00,07:00,03:00,POINT (4.88953863091129 52.4007353492939)
Bootje B.V.,Dijksgracht 4D,07:00,01:00,07:00,03:00,POINT (4.91261972186496 52.3762221385105)
The Noon,Zieseniskade 22-H,07:00,01:00,07:00,01:00,POINT (4.88624740612784 52.3616706144635)
"Zeilvereniging ""Het Y"";""Durgerdammerdijk 116B",Additionele horeca,07:00,01:00,07:00,03:00,POINT (4.99224464325791 52.3777454351095)
Nautiek Vaaropleidingen,Veemkade 267,07:00,01:00,07:00,03:00,POINT (4.93898495913925 52.3742666006595)
Café Latei,Zeedijk 143,07:00,03:00,07:00,04:00,POINT (4.90031639607441 52.3732692736936)
Veronica  Schip B.V.,NDSM-pier 1,09:00,04:00,09:00,05:00,POINT (4.89017756440104 52.4014120904822)
Café Bar Gultepe,Witte de Withstraat 149-H,07:00,01:00,07:00,03:00,POINT (4.85875440651724 52.3712308832014)
Coffeeshop El Marssa,Witte de Withstraat 106-H,07:00,01:00,07:00,01:00,POINT (4.85929501321416 52.3689863948048)
Bunga Mawar,Zeedijk 41,07:00,01:00,07:00,03:00,POINT (4.90117440553154 52.3753758812789)
FLORYA RESTAURANT & CAFÉ,Bos en Lommerplantsoen 10,07:00,01:00,07:00,03:00,POINT (4.84600317175857 52.3753166427021)
Harbour Amsterdam B.V,Cruquiusweg 67A,07:00,01:00,07:00,03:00,POINT (4.9482011654816 52.368908567615)
Azzurro,Zeedijk 46-H,07:00,01:00,07:00,03:00,POINT (4.90091372705616 52.3750422730443)
De Kletskop,Zeedijk 10,07:00,01:00,07:00,03:00,POINT (4.90034547675299 52.3759746461309)
Amsterdam Wharf B.V,Windroosplein 73,07:00,04:00,07:00,04:00,POINT (4.92442582407562 52.373491659787)
R.O.H.D.A. Korfbalclub,Willinklaan 4,07:00,01:00,07:00,03:00,POINT (4.80249896528258 52.3702567895808)
Amsterdamse Atletiek Combinatie,Willinklaan 7,07:00,01:00,07:00,03:00,POINT (4.80334334750996 52.3708091954371)
Oska Bloemenkwartier,Wingerdweg 260B,07:00,01:00,07:00,03:00,POINT (4.91871825489039 52.3967109609968)
Rolling Rock Kitchen,Distelweg 451,07:00,01:00,07:00,03:00,POINT (4.8983586010525 52.3950469911382)
Pollux Pacific BV,NDSM-pier 2,07:00,01:00,07:00,03:00,POINT (4.88978065165306 52.4014284016449)
Odessa Journey,Veemkade 259,07:00,01:00,07:00,03:00,POINT (4.93766093202694 52.3745042507971)
Roeivereniging Ric,Korte Ouderkerkerdijk 32,07:00,01:00,07:00,03:00,POINT (4.9161143816466 52.3402677783425)
Baba Orali,Kinkerstraat 122-H,07:00,01:00,07:00,03:00,POINT (4.86996633200524 52.3667415967287)
Kadinsky,Zoutsteeg 14,07:00,01:00,07:00,01:00,POINT (4.89360973483031 52.3742211857845)
Shiki Japans Restaurant,Zoutsteeg 3,07:00,01:00,07:00,03:00,POINT (4.893845977147 52.3741053308263)
Vier Seizoenen Broodjesbar,Zoutsteeg 4-H,07:00,03:00,07:00,04:00,POINT (4.89391859854217 52.3741775334445)
Bongusta BV,Zaventemweg 1,07:00,01:00,07:00,03:00,POINT (4.83764620141327 52.3884629749553)
Sefa Restaurant Grill-Room,Westermarkt 25-H,07:00,03:00,07:00,04:00,POINT (4.88381896147414 52.3738744443547)
Koh-I-Noor,Westermarkt 29-H,07:00,01:00,07:00,03:00,POINT (4.88368670452126 52.3738828703242)
Onbewokt B.V. RLGC,Zuiderzeeweg 28,09:00,03:00,09:00,04:00,POINT (4.96064907343632 52.3707694953488)
Cruise Inn,Zuiderzeeweg 29,07:00,01:00,07:00,03:00,POINT (4.9612171134834 52.3697199971548)
Dolcica,Zeedijk 121-H,07:00,03:00,07:00,04:00,POINT (4.90031403148539 52.3734849652902)
"Proeflokaal ""Int Aepjen"";""Zeedijk 1",Café,07:00,01:00,07:00,03:00,POINT (4.90015092978007 52.3763063863907)
A-Fusion Food & Drinks,Zeedijk 130A,07:00,01:00,07:00,03:00,POINT (4.90012580332647 52.3732415281715)
Lalotta Amstel B.V,Weesperzijde 42A-H,07:00,01:00,07:00,03:00,POINT (4.90746529434928 52.3558175913201)
Café The Queen's Head,Zeedijk 20-H,07:00,01:00,07:00,03:00,POINT (4.90068676746708 52.3756524953213)
  EetCafé Ibis,Weesperzijde 43-H,07:00,01:00,07:00,03:00,POINT (4.90750981337982 52.3557728335499)
Kees,Weesperzijde 44-H,07:00,01:00,07:00,03:00,POINT (4.90749562053168 52.3557278381518)
Donny,Warmoesstraat 63,07:00,03:00,07:00,04:00,POINT (4.89800504605804 52.3751381579576)
Grieks Restaurant Athene,Weesperzijde 42-H,07:00,01:00,07:00,03:00,POINT (4.90743564729079 52.3558444340913)
Essen B.V.,Warmoesstraat 64-H,07:00,01:00,07:00,03:00,POINT (4.89774072795709 52.3751370670759)
Cafe Oporto,Zoutsteeg 1-H,07:00,01:00,07:00,03:00,POINT (4.89391959674067 52.3740876620332)
Utopia,Nieuwezijds Voorburgwal 132,07:00,01:00,07:00,01:00,POINT (4.89161756339545 52.3750936559132)
Erno's 1 (Lunchroom),Agatha Christiesingel 129,07:00,01:00,07:00,03:00,POINT (4.94295520571846 52.3223422694075)
Restaurant Mchi,IJburglaan 1295,07:00,01:00,07:00,03:00,POINT (4.9979001541764 52.3541269629518)
Grill-Bar Sphinx,Eerste Oosterparkstraat 164,07:00,01:00,07:00,03:00,POINT (4.91458426650158 52.3572123051835)
Wijkcentrum Kwakoe,Elizabeth Cady Stantonplein 1,07:00,01:00,07:00,03:00,POINT (4.95284257884402 52.3161864479191)
Restaurant mr. Burger,Zeedijk 51A,07:00,03:00,07:00,04:00,POINT (4.9011474957339 52.3751510822244)
Bulls and Dogs Amsterdam B.V.,Van Woustraat 58-H,07:00,01:00,07:00,03:00,POINT (4.90021359143342 52.3558599187006)
Warda International B.V.,Van Woustraat 147-H,07:00,01:00,07:00,03:00,POINT (4.90297591685855 52.3529143166877)
Coffeeshop Relax,Vechtstraat 9-H,07:00,01:00,07:00,01:00,POINT (4.90566666567047 52.3484135022946)
