ZAAKNAAM,ADRES,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,LOCATIE_WKT
De Koperen Ketel,Amstel 32-H,07:00,01:00,07:00,03:00,POINT (4.89523299162007 52.3668761051806)
ASRV Nereus,Amsteldijk 130A-1,07:00,01:00,07:00,03:00,POINT (4.91127522384742 52.3482024806486)
Jamavi Food BV Automatiek Febo,Amsteldijk 132-H,10:30,00:00,10:30,00:00,POINT (4.91088649880196 52.3474998855348)
Stichting Muziekschool Amsterdam Noord,Alkmaarstraat 10,07:00,01:00,07:00,03:00,POINT (4.951133441907 52.3947674603417)
Mulligans,Amstel 100-H,07:00,01:00,07:00,03:00,POINT (4.89677386591872 52.3669454027227)
Café de Amstel,Amstelkade 39,07:00,01:00,07:00,03:00,POINT (4.90315470363082 52.3486279593402)
Koninklijk Theater Carré,Amstel 115,07:00,00:00,07:00,00:00,POINT (4.90388580067465 52.3623729741381)
Jacobs Douwe Egberts Coffee Company BV,Amstelstraat 5,07:00,03:00,07:00,04:00,POINT (4.89799956759032 52.3663033619166)
De Carrékelder,Amstel 133-O,07:00,01:00,07:00,03:00,POINT (4.90405109392021 52.3620231324221)
Coffeeshop Old Church,Amstel 8-H,07:00,01:00,07:00,01:00,POINT (4.89417501841041 52.3669525980883)
De Kleine Komedie,Amstel 56,07:00,01:00,07:00,03:00,POINT (4.89587888291164 52.3668877714095)
Eden Hotel Exploitatie B.V.,Amstel 142,07:00,01:00,07:00,03:00,POINT (4.89862474030472 52.3668631695667)
Steffens Recreatie V.O.F.,Amstelpark 18,07:00,00:00,07:00,01:00,POINT (4.89469534930609 52.3332602053083)
Café Fame,Amstel 50-H,09:00,03:00,09:00,04:00,POINT (4.89548247944044 52.366886127852)
Ribsfactory Amsterdam,Amstelstraat 16,07:00,01:00,07:00,03:00,POINT (4.89904412137246 52.3661099412636)
Café-Restaurant Blooker,Amstelplein 4,07:00,01:00,07:00,03:00,POINT (4.91721591743054 52.3443345552527)
Queers café,Amstel 60,07:00,01:00,07:00,03:00,POINT (4.89615753548412 52.3669158886744)
Carbonzuid B.V.,Amstelveenseweg 312-1,10:00,00:00,10:00,01:00,POINT (4.85727656006269 52.3461758056115)
EetCafé de Nijl,Amstelveenseweg 65-H,07:00,01:00,07:00,03:00,POINT (4.85596747840694 52.3537914598807)
Fu-Zhou T.H.O.D.N. Wok to Go Express,Amstelveenseweg 93-H,07:00,01:00,07:00,03:00,POINT (4.85634664684054 52.3527685690949)
Hacarmel Kosher Restaurant,Amstelveenseweg 224-H,07:00,01:00,07:00,03:00,POINT (4.85660250696524 52.351008139137)
La Trattoria Di Donna Sofia,Anjeliersstraat 300,07:00,01:00,07:00,03:00,POINT (4.8815171202572 52.3774237230238)
The Border BV,Amstelveenseweg 1160,07:00,01:00,07:00,01:00,POINT (4.85706602482518 52.3219890412736)
Salsa Shop,Amstelstraat 32,07:00,01:00,07:00,03:00,POINT (4.89979326520093 52.3660770734936)
Cafe Gollem Amstelstraat,Amstelstraat 34-H,07:00,01:00,07:00,03:00,POINT (4.89992520018763 52.3660955910227)
Restaurant Chi,Amstelveenseweg 128-H,07:00,01:00,07:00,03:00,POINT (4.85526861354134 52.3545432862392)
The Labyrinth,Amstelveenseweg 53,07:00,00:00,07:00,01:00,POINT (4.8558607622546 52.3541235237244)
HOTEL PILLOWS ANNA VAN DEN VONDEL,Anna van den Vondelstraat 2,07:00,01:00,07:00,03:00,POINT (4.8694473635984 52.3608794193732)
Boterham,Andreas Bonnstraat 2,07:00,01:00,07:00,03:00,POINT (4.91107706558453 52.3598496054187)
Dansinstituut Oostveen,Amstelveenseweg 132-H,07:00,01:00,07:00,03:00,POINT (4.85534350664089 52.3544177955538)
Anne&Max Amsterdam Zuid,Amstelveenseweg 196-H,07:00,01:00,07:00,03:00,POINT (4.85606352765655 52.3518955006485)
