ZAAKNUMMER,ZAAKNAAM,ADRES,ZAAK_CATEGORIE,ZAAK_SPECIFICATIE,BEGINDATUM,EINDDATUM,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,O_TIJDEN_TERRAS_ZO_DO_VAN,O_TIJDEN_TERRAS_ZO_DO_TOT,O_TIJDEN_TERRAS_VR_ZA_VAN,O_TIJDEN_TERRAS_VR_ZA_TOT,VERLENGING_SLUITINGSTIJD_1,VERLENGING_SLUITINGSTIJD_2,VERLENGING_SLUITINGSTIJD_3,VERLENGING_SLUITINGSTIJD_4,VERLENGING_SLUITINGSTIJD_5,VERLENGING_SLUITINGSTIJD_6,VERLENGING_SLUITINGSTIJD_7,VERLENGING_SLUITINGSTIJD_8,VERLENGING_SLUITINGSTIJD_9,VERLENGING_SLUITINGSTIJD_10,ONTHEFFING_GELUIDSVOORSCHR_1,ONTHEFFING_GELUIDSVOORSCHR_2,ONTHEFFING_GELUIDSVOORSCHR_3,ONTHEFFING_GELUIDSVOORSCHR_4,ONTHEFFING_GELUIDSVOORSCHR_5,LOCATIE_WKT,TERRASGEOMETRIE_WKT,STADSDEEL,STATUS_VERGUNNING
4933,"Watersportvereniging ""De Koenen"";""Jollenpad 13",Additionele horeca,Clubgebouw,2017-10-11 00:00:00.0,2023-01-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,23:00,07:00,00:00,,,,,,,,,,,,,,,,POINT (4.85103040844756 52.3347603469043),"POLYGON ((4.84861647213491 52.3346462122438, 4.84859972442627 52.3347727904377, 4.84864476891375 52.3347750263845, 4.84863876098993 52.3348204407625, 4.84867063820419 52.3348220236671, 4.84866175720804 52.3348890313581, 4.84862989461708 52.3348874485178, 4.84863467479881 52.3348513397918, 4.84862382438957 52.3348507871664, 4.84862562830995 52.3348375205698, 4.84860707990193 52.3348365824353, 4.84861334706301 52.3347903603465, 4.84854380180544 52.3347868266424, 4.84856275970124 52.334643545346, 4.84861647213491 52.3346462122438))",Zuid,Verleend,
9224,"Watersportvereniging ""Aeolus"";""Motorkade 15",Additionele horeca,Clubgebouw,2015-11-01 00:00:00.0,2018-11-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.91884571881228 52.3846322598056),,Noord,Verleend,
1348,"Watersportvereniging ""Onklaar Anker"";""Riekerweg 36",Additionele horeca,Kantine,2014-03-21 00:00:00.0,2019-03-21 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (4.82993989179535 52.3353371173692),,Nieuw-West,Verleend,
8217,"Watersportvereniging ""De Doordrijvers"";""Uitdammerdijk 14",Additionele horeca,Kantine,2017-12-01 00:00:00.0,2021-01-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (5.01783240977678 52.3859526057209),,Noord,Verleend,
12720,"Huis van de Wijk ""Pijp"";""Tweede Van der Helststraat 66",Additionele horeca,Buurtcentrum,2017-09-29 00:00:00.0,2022-12-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.89438952097173 52.3502635313292),,Zuid,Verleend,
9039,"Zeilvereniging ""Het Y"";""Durgerdammerdijk 116B",Additionele horeca,Kantine,2016-03-01 00:00:00.0,2019-03-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.99224464325791 52.3777454351095),,Noord,Verleend,
9323,"Poolbiljartcentrum ""Plan B Overtoom"";""Overtoom 209A",Additionele horeca,Onbekend,2015-09-01 00:00:00.0,2018-09-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.87013688549583 52.3609183793931),,West,Verleend,
9916,"Badhoeve ""Kinselmeer"";""Uitdammerdijk 10",Additionele horeca,Kantine,2018-07-01 00:00:00.0,,07:00,01:00,07:00,03:00,07:00,01:00,07:00,02:00,,,,,,,,,,,,,,,,POINT (5.01251827879779 52.3855854181259),,Noord,Aangevraagd,
12870,"Atletiekvereniging ""Atos"";""G.J. Scheurleerpad 3",Additionele horeca,Clubgebouw,2018-02-01 00:00:00.0,2021-02-01 00:00:00.0,07:00,01:00,07:00,03:00,,,,,,,,,,,,,,,,,,,,POINT (4.92667187978842 52.4018739627676),,Noord,Verleend,
10999,Bar Spek,Admiraal De Ruijterweg 1,Restaurant,Specificatie n.v.t.,2015-07-01 00:00:00.0,2018-07-01 00:00:00.0,07:00,01:00,07:00,03:00,07:00,01:00,07:00,01:00,,,,,,,,,,,,,,,,POINT (4.86456719258293 52.3701511763103),,West,Verleend
